Notes,Year,Year Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Race,Race Code,Deaths,Population
,2003,2003,65-74 years,65-74,Male,M,White,2106-3,197853,7392803
Total,2003,2003,65-74 years,65-74,Male,M,,,231421,8452713
Total,2003,2003,65-74 years,65-74,,,,,413497,18500915
,2003,2003,75-84 years,75-84,Female,F,American Indian or Alaska Native,1002-5,1271,31258
,2003,2003,75-84 years,75-84,Female,F,Asian or Pacific Islander,A-PI,5247,190753
,2003,2003,75-84 years,75-84,Female,F,Black or African American,2054-5,33772,626651
,2003,2003,75-84 years,75-84,Female,F,White,2106-3,320402,6864495
Total,2003,2003,75-84 years,75-84,Female,F,,,360692,7713157
,2003,2003,75-84 years,75-84,Male,M,American Indian or Alaska Native,1002-5,1092,21194
,2003,2003,75-84 years,75-84,Male,M,Asian or Pacific Islander,A-PI,5590,134931
,2003,2003,75-84 years,75-84,Male,M,Black or African American,2054-5,28600,354052
,2003,2003,75-84 years,75-84,Male,M,White,2106-3,307050,4673104
Total,2003,2003,75-84 years,75-84,Male,M,,,342332,5183281
Total,2003,2003,75-84 years,75-84,,,,,703024,12896438
,2003,2003,85+ years,85+,Female,F,American Indian or Alaska Native,1002-5,1016,10129
,2003,2003,85+ years,85+,Female,F,Asian or Pacific Islander,A-PI,4890,54365
,2003,2003,85+ years,85+,Female,F,Black or African American,2054-5,33614,230168
,2003,2003,85+ years,85+,Female,F,White,2106-3,420120,2833313
Total,2003,2003,85+ years,85+,Female,F,,,459640,3127975
,2003,2003,85+ years,85+,Male,M,American Indian or Alaska Native,1002-5,578,4719
,2003,2003,85+ years,85+,Male,M,Asian or Pacific Islander,A-PI,3765,32671
,2003,2003,85+ years,85+,Male,M,Black or African American,2054-5,14294,83223
,2003,2003,85+ years,85+,Male,M,White,2106-3,209575,1217588
Total,2003,2003,85+ years,85+,Male,M,,,228212,1338201
Total,2003,2003,85+ years,85+,,,,,687852,4466176
,2003,2003,Not Stated,NS,Female,F,Asian or Pacific Islander,A-PI,2,Not Applicable
,2003,2003,Not Stated,NS,Female,F,Black or African American,2054-5,5,Not Applicable
,2003,2003,Not Stated,NS,Female,F,White,2106-3,64,Not Applicable
Total,2003,2003,Not Stated,NS,Female,F,,,71,Not Applicable
,2003,2003,Not Stated,NS,Male,M,American Indian or Alaska Native,1002-5,5,Not Applicable
,2003,2003,Not Stated,NS,Male,M,Asian or Pacific Islander,A-PI,3,Not Applicable
,2003,2003,Not Stated,NS,Male,M,Black or African American,2054-5,35,Not Applicable
,2003,2003,Not Stated,NS,Male,M,White,2106-3,228,Not Applicable
Total,2003,2003,Not Stated,NS,Male,M,,,271,Not Applicable
Total,2003,2003,Not Stated,NS,,,,,342,Not Applicable
Total,2003,2003,,,,,,,2448288,290107933
,2004,2004,< 1 year,1,Female,F,American Indian or Alaska Native,1002-5,152,30480
,2004,2004,< 1 year,1,Female,F,Asian or Pacific Islander,A-PI,375,102119
,2004,2004,< 1 year,1,Female,F,Black or African American,2054-5,3725,310300
,2004,2004,< 1 year,1,Female,F,White,2106-3,7966,1519317
Total,2004,2004,< 1 year,1,Female,F,,,12218,1962216
,2004,2004,< 1 year,1,Male,M,American Indian or Alaska Native,1002-5,237,31268
,2004,2004,< 1 year,1,Male,M,Asian or Pacific Islander,A-PI,447,107621
,2004,2004,< 1 year,1,Male,M,Black or African American,2054-5,4769,320836
,2004,2004,< 1 year,1,Male,M,White,2106-3,10265,1592317
Total,2004,2004,< 1 year,1,Male,M,,,15718,2052042
Total,2004,2004,< 1 year,1,,,,,27936,4014258
,2004,2004,1-4 years,4-Jan,Female,F,American Indian or Alaska Native,1002-5,47,117295
,2004,2004,1-4 years,4-Jan,Female,F,Asian or Pacific Islander,A-PI,81,396689
,2004,2004,1-4 years,4-Jan,Female,F,Black or African American,2054-5,523,1233915
,2004,2004,1-4 years,4-Jan,Female,F,White,2106-3,1485,5965276
Total,2004,2004,1-4 years,4-Jan,Female,F,,,2136,7713175
,2004,2004,1-4 years,4-Jan,Male,M,American Indian or Alaska Native,1002-5,50,120218
,2004,2004,1-4 years,4-Jan,Male,M,Asian or Pacific Islander,A-PI,80,407770
,2004,2004,1-4 years,4-Jan,Male,M,Black or African American,2054-5,641,1273755
,2004,2004,1-4 years,4-Jan,Male,M,White,2106-3,1878,6256709
Total,2004,2004,1-4 years,4-Jan,Male,M,,,2649,8058452
Total,2004,2004,1-4 years,4-Jan,,,,,4785,15771627
,2004,2004,5-14 years,14-May,Female,F,American Indian or Alaska Native,1002-5,57,311650
,2004,2004,5-14 years,14-May,Female,F,Asian or Pacific Islander,A-PI,87,924489
,2004,2004,5-14 years,14-May,Female,F,Black or African American,2054-5,696,3364693
,2004,2004,5-14 years,14-May,Female,F,White,2106-3,1995,15346105
Total,2004,2004,5-14 years,14-May,Female,F,,,2835,19946937
,2004,2004,5-14 years,14-May,Male,M,American Indian or Alaska Native,1002-5,70,319471
,2004,2004,5-14 years,14-May,Male,M,Asian or Pacific Islander,A-PI,136,952422
,2004,2004,5-14 years,14-May,Male,M,Black or African American,2054-5,888,3477116
,2004,2004,5-14 years,14-May,Male,M,White,2106-3,2905,16169971
Total,2004,2004,5-14 years,14-May,Male,M,,,3999,20918980
Total,2004,2004,5-14 years,14-May,,,,,6834,40865917
,2004,2004,15-24 years,15-24,Female,F,American Indian or Alaska Native,1002-5,184,306597
,2004,2004,15-24 years,15-24,Female,F,Asian or Pacific Islander,A-PI,230,1052168
,2004,2004,15-24 years,15-24,Female,F,Black or African American,2054-5,1713,3237074
,2004,2004,15-24 years,15-24,Female,F,White,2106-3,6707,15837595
Total,2004,2004,15-24 years,15-24,Female,F,,,8834,20433434
,2004,2004,15-24 years,15-24,Male,M,American Indian or Alaska Native,1002-5,409,332964
,2004,2004,15-24 years,15-24,Male,M,Asian or Pacific Islander,A-PI,536,1080958
,2004,2004,15-24 years,15-24,Male,M,Black or African American,2054-5,5336,3262842
,2004,2004,15-24 years,15-24,Male,M,White,2106-3,18306,16837914
Total,2004,2004,15-24 years,15-24,Male,M,,,24587,21514678
Total,2004,2004,15-24 years,15-24,,,,,33421,41948112
,2004,2004,25-34 years,25-34,Female,F,American Indian or Alaska Native,1002-5,234,248019
,2004,2004,25-34 years,25-34,Female,F,Asian or Pacific Islander,A-PI,343,1321803
,2004,2004,25-34 years,25-34,Female,F,Black or African American,2054-5,3241,2876323
,2004,2004,25-34 years,25-34,Female,F,White,2106-3,8691,15074080
Total,2004,2004,25-34 years,25-34,Female,F,,,12509,19520225
,2004,2004,25-34 years,25-34,Male,M,American Indian or Alaska Native,1002-5,461,257453
,2004,2004,25-34 years,25-34,Male,M,Asian or Pacific Islander,A-PI,630,1239863
,2004,2004,25-34 years,25-34,Male,M,Black or African American,2054-5,6684,2565229
,2004,2004,25-34 years,25-34,Male,M,White,2106-3,20584,15683786
Total,2004,2004,25-34 years,25-34,Male,M,,,28359,19746331
Total,2004,2004,25-34 years,25-34,,,,,40868,39266556
,2004,2004,35-44 years,35-44,Female,F,American Indian or Alaska Native,1002-5,447,255991
,2004,2004,35-44 years,35-44,Female,F,Asian or Pacific Islander,A-PI,639,1180815
,2004,2004,35-44 years,35-44,Female,F,Black or African American,2054-5,7774,3052653
,2004,2004,35-44 years,35-44,Female,F,White,2106-3,22825,17526275
Total,2004,2004,35-44 years,35-44,Female,F,,,31685,22015734
,2004,2004,35-44 years,35-44,Male,M,American Indian or Alaska Native,1002-5,747,249223
,2004,2004,35-44 years,35-44,Male,M,Asian or Pacific Islander,A-PI,1015,1082457
,2004,2004,35-44 years,35-44,Male,M,Black or African American,2054-5,10700,2702756
,2004,2004,35-44 years,35-44,Male,M,White,2106-3,41215,17750105
Total,2004,2004,35-44 years,35-44,Male,M,,,53677,21784541
Total,2004,2004,35-44 years,35-44,,,,,85362,43800275
,2004,2004,45-54 years,45-54,Female,F,American Indian or Alaska Native,1002-5,694,215534
,2004,2004,45-54 years,45-54,Female,F,Asian or Pacific Islander,A-PI,1433,996068
,2004,2004,45-54 years,45-54,Female,F,Black or African American,2054-5,14954,2675653
,2004,2004,45-54 years,45-54,Female,F,White,2106-3,49453,17296874
Total,2004,2004,45-54 years,45-54,Female,F,,,66534,21184129
,2004,2004,45-54 years,45-54,Male,M,American Indian or Alaska Native,1002-5,1045,203965
,2004,2004,45-54 years,45-54,Male,M,Asian or Pacific Islander,A-PI,2096,865244
,2004,2004,45-54 years,45-54,Male,M,Black or African American,2054-5,21756,2331037
,2004,2004,45-54 years,45-54,Male,M,White,2106-3,86266,17045555
Total,2004,2004,45-54 years,45-54,Male,M,,,111163,20445801
Total,2004,2004,45-54 years,45-54,,,,,177697,41629930
,2004,2004,55-64 years,55-64,Female,F,American Indian or Alaska Native,1002-5,861,124311
,2004,2004,55-64 years,55-64,Female,F,Asian or Pacific Islander,A-PI,2070,623215
,2004,2004,55-64 years,55-64,Female,F,Black or African American,2054-5,18138,1632520
,2004,2004,55-64 years,55-64,Female,F,White,2106-3,85596,12805701
Total,2004,2004,55-64 years,55-64,Female,F,,,106665,15185747
,2004,2004,55-64 years,55-64,Male,M,American Indian or Alaska Native,1002-5,1212,116353
,2004,2004,55-64 years,55-64,Male,M,Asian or Pacific Islander,A-PI,2893,534159
,2004,2004,55-64 years,55-64,Male,M,Black or African American,2054-5,25352,1338251
,2004,2004,55-64 years,55-64,Male,M,White,2106-3,128575,12130794
Total,2004,2004,55-64 years,55-64,Male,M,,,158032,14119557
Total,2004,2004,55-64 years,55-64,,,,,264697,29305304
,2004,2004,65-74 years,65-74,Female,F,American Indian or Alaska Native,1002-5,1104,64055
,2004,2004,65-74 years,65-74,Female,F,Asian or Pacific Islander,A-PI,3405,366772
,2004,2004,65-74 years,65-74,Female,F,Black or African American,2054-5,24127,1027135
,2004,2004,65-74 years,65-74,Female,F,White,2106-3,148139,8652401
Total,2004,2004,65-74 years,65-74,Female,F,,,176775,10110363
,2004,2004,65-74 years,65-74,Male,M,American Indian or Alaska Native,1002-5,1225,54699
,2004,2004,65-74 years,65-74,Male,M,Asian or Pacific Islander,A-PI,3988,294158
,2004,2004,65-74 years,65-74,Male,M,Black or African American,2054-5,27555,746162
,2004,2004,65-74 years,65-74,Male,M,White,2106-3,190123,7462151
Total,2004,2004,65-74 years,65-74,Male,M,,,222891,8557170
Total,2004,2004,65-74 years,65-74,,,,,399666,18667533
,2004,2004,75-84 years,75-84,Female,F,American Indian or Alaska Native,1002-5,1229,32443
,2004,2004,75-84 years,75-84,Female,F,Asian or Pacific Islander,A-PI,5330,202707
,2004,2004,75-84 years,75-84,Female,F,Black or African American,2054-5,33684,634458
,2004,2004,75-84 years,75-84,Female,F,White,2106-3,310318,6869134
Total,2004,2004,75-84 years,75-84,Female,F,,,350561,7738742
,2004,2004,75-84 years,75-84,Male,M,American Indian or Alaska Native,1002-5,1146,22168
,2004,2004,75-84 years,75-84,Male,M,Asian or Pacific Islander,A-PI,5486,141823
,2004,2004,75-84 years,75-84,Male,M,Black or African American,2054-5,27695,358757
,2004,2004,75-84 years,75-84,Male,M,White,2106-3,299342,4728413
Total,2004,2004,75-84 years,75-84,Male,M,,,333669,5251161
Total,2004,2004,75-84 years,75-84,,,,,684230,12989903
,2004,2004,85+ years,85+,Female,F,American Indian or Alaska Native,1002-5,979,10392
,2004,2004,85+ years,85+,Female,F,Asian or Pacific Islander,A-PI,5241,58661
,2004,2004,85+ years,85+,Female,F,Black or African American,2054-5,32752,232605
,2004,2004,85+ years,85+,Female,F,White,2106-3,406151,2864926
Total,2004,2004,85+ years,85+,Female,F,,,445123,3166584
,2004,2004,85+ years,85+,Male,M,American Indian or Alaska Native,1002-5,524,4903
,2004,2004,85+ years,85+,Male,M,Asian or Pacific Islander,A-PI,3989,35033
,2004,2004,85+ years,85+,Male,M,Black or African American,2054-5,14548,84728
,2004,2004,85+ years,85+,Male,M,White,2106-3,207589,1254635
Total,2004,2004,85+ years,85+,Male,M,,,226650,1379299
Total,2004,2004,85+ years,85+,,,,,671773,4545883
,2004,2004,Not Stated,NS,Female,F,American Indian or Alaska Native,1002-5,2,Not Applicable
,2004,2004,Not Stated,NS,Female,F,Asian or Pacific Islander,A-PI,1,Not Applicable
,2004,2004,Not Stated,NS,Female,F,Black or African American,2054-5,18,Not Applicable
,2004,2004,Not Stated,NS,Female,F,White,2106-3,51,Not Applicable
Total,2004,2004,Not Stated,NS,Female,F,,,72,Not Applicable
,2004,2004,Not Stated,NS,Male,M,American Indian or Alaska Native,1002-5,8,Not Applicable
,2004,2004,Not Stated,NS,Male,M,Asian or Pacific Islander,A-PI,2,Not Applicable
,2004,2004,Not Stated,NS,Male,M,Black or African American,2054-5,46,Not Applicable
,2004,2004,Not Stated,NS,Male,M,White,2106-3,218,Not Applicable
Total,2004,2004,Not Stated,NS,Male,M,,,274,Not Applicable
Total,2004,2004,Not Stated,NS,,,,,346,Not Applicable
Total,2004,2004,,,,,,,2397615,292805298
,2005,2005,< 1 year,1,Female,F,American Indian or Alaska Native,1002-5,161,32194
,2005,2005,< 1 year,1,Female,F,Asian or Pacific Islander,A-PI,390,104342
,2005,2005,< 1 year,1,Female,F,Black or African American,2054-5,3828,318126
,2005,2005,< 1 year,1,Female,F,White,2106-3,8043,1502020
Total,2005,2005,< 1 year,1,Female,F,,,12422,1956682
,2005,2005,< 1 year,1,Male,M,American Indian or Alaska Native,1002-5,196,32637
,2005,2005,< 1 year,1,Male,M,Asian or Pacific Islander,A-PI,484,110171
,2005,2005,< 1 year,1,Male,M,Black or African American,2054-5,4867,329152
,2005,2005,< 1 year,1,Male,M,White,2106-3,10471,1575751
Total,2005,2005,< 1 year,1,Male,M,,,16018,2047711
Total,2005,2005,< 1 year,1,,,,,28440,4004393
,2005,2005,1-4 years,4-Jan,Female,F,American Indian or Alaska Native,1002-5,38,121519
,2005,2005,1-4 years,4-Jan,Female,F,Asian or Pacific Islander,A-PI,67,414165
,2005,2005,1-4 years,4-Jan,Female,F,Black or African American,2054-5,474,1239358
,2005,2005,1-4 years,4-Jan,Female,F,White,2106-3,1412,6010081
Total,2005,2005,1-4 years,4-Jan,Female,F,,,1991,7785123
,2005,2005,1-4 years,4-Jan,Male,M,American Indian or Alaska Native,1002-5,62,124518
,2005,2005,1-4 years,4-Jan,Male,M,Asian or Pacific Islander,A-PI,84,426175
,2005,2005,1-4 years,4-Jan,Male,M,Black or African American,2054-5,623,1279980
,2005,2005,1-4 years,4-Jan,Male,M,White,2106-3,1996,6297211
Total,2005,2005,1-4 years,4-Jan,Male,M,,,2765,8127884
Total,2005,2005,1-4 years,4-Jan,,,,,4756,15913007
,2005,2005,5-14 years,14-May,Female,F,American Indian or Alaska Native,1002-5,46,316884
,2005,2005,5-14 years,14-May,Female,F,Asian or Pacific Islander,A-PI,108,949013
,2005,2005,5-14 years,14-May,Female,F,Black or African American,2054-5,634,3332498
,2005,2005,5-14 years,14-May,Female,F,White,2106-3,1961,15223887
Total,2005,2005,5-14 years,14-May,Female,F,,,2749,19822282
,2005,2005,5-14 years,14-May,Male,M,American Indian or Alaska Native,1002-5,64,324502
,2005,2005,5-14 years,14-May,Male,M,Asian or Pacific Islander,A-PI,131,973482
,2005,2005,5-14 years,14-May,Male,M,Black or African American,2054-5,909,3445200
,2005,2005,5-14 years,14-May,Male,M,White,2106-3,2749,16036180
Total,2005,2005,5-14 years,14-May,Male,M,,,3853,20779364
Total,2005,2005,5-14 years,14-May,,,,,6602,40601646
,2005,2005,15-24 years,15-24,Female,F,American Indian or Alaska Native,1002-5,196,318789
,2005,2005,15-24 years,15-24,Female,F,Asian or Pacific Islander,A-PI,249,1077771
,2005,2005,15-24 years,15-24,Female,F,Black or African American,2054-5,1662,3302894
,2005,2005,15-24 years,15-24,Female,F,White,2106-3,6618,15958141
Total,2005,2005,15-24 years,15-24,Female,F,,,8725,20657595
,2005,2005,15-24 years,15-24,Male,M,American Indian or Alaska Native,1002-5,439,346614
,2005,2005,15-24 years,15-24,Male,M,Asian or Pacific Islander,A-PI,569,1111250
,2005,2005,15-24 years,15-24,Male,M,Black or African American,2054-5,5709,3342630
,2005,2005,15-24 years,15-24,Male,M,White,2106-3,18792,16988080
Total,2005,2005,15-24 years,15-24,Male,M,,,25509,21788574
Total,2005,2005,15-24 years,15-24,,,,,34234,42446169
,2005,2005,25-34 years,25-34,Female,F,American Indian or Alaska Native,1002-5,208,257361
,2005,2005,25-34 years,25-34,Female,F,Asian or Pacific Islander,A-PI,370,1362857
,2005,2005,25-34 years,25-34,Female,F,Black or African American,2054-5,3193,2898286
,2005,2005,25-34 years,25-34,Female,F,White,2106-3,8871,15029194
Total,2005,2005,25-34 years,25-34,Female,F,,,12642,19547698
,2005,2005,25-34 years,25-34,Male,M,American Indian or Alaska Native,1002-5,512,267284
,2005,2005,25-34 years,25-34,Male,M,Asian or Pacific Islander,A-PI,696,1266645
,2005,2005,25-34 years,25-34,Male,M,Black or African American,2054-5,6843,2583817
,2005,2005,25-34 years,25-34,Male,M,White,2106-3,21232,15593203
Total,2005,2005,25-34 years,25-34,Male,M,,,29283,19710949
Total,2005,2005,25-34 years,25-34,,,,,41925,39258647
,2005,2005,35-44 years,35-44,Female,F,American Indian or Alaska Native,1002-5,446,260491
,2005,2005,35-44 years,35-44,Female,F,Asian or Pacific Islander,A-PI,710,1226884
,2005,2005,35-44 years,35-44,Female,F,Black or African American,2054-5,7560,3044055
,2005,2005,35-44 years,35-44,Female,F,White,2106-3,22760,17333913
Total,2005,2005,35-44 years,35-44,Female,F,,,31476,21865343
,2005,2005,35-44 years,35-44,Male,M,American Indian or Alaska Native,1002-5,777,254984
,2005,2005,35-44 years,35-44,Male,M,Asian or Pacific Islander,A-PI,1082,1121237
,2005,2005,35-44 years,35-44,Male,M,Black or African American,2054-5,10626,2696483
,2005,2005,35-44 years,35-44,Male,M,White,2106-3,40824,17567491
Total,2005,2005,35-44 years,35-44,Male,M,,,53309,21640195
Total,2005,2005,35-44 years,35-44,,,,,84785,43505538
,2005,2005,45-54 years,45-54,Female,F,American Indian or Alaska Native,1002-5,767,226335
,2005,2005,45-54 years,45-54,Female,F,Asian or Pacific Islander,A-PI,1448,1033811
,2005,2005,45-54 years,45-54,Female,F,Black or African American,2054-5,15501,2758002
,2005,2005,45-54 years,45-54,Female,F,White,2106-3,51342,17596381
Total,2005,2005,45-54 years,45-54,Female,F,,,69058,21614529
,2005,2005,45-54 years,45-54,Male,M,American Indian or Alaska Native,1002-5,1160,214190
,2005,2005,45-54 years,45-54,Male,M,Asian or Pacific Islander,A-PI,2182,900278
,2005,2005,45-54 years,45-54,Male,M,Black or African American,2054-5,22248,2410045
,2005,2005,45-54 years,45-54,Male,M,White,2106-3,88882,17356862
Total,2005,2005,45-54 years,45-54,Male,M,,,114472,20881375
Total,2005,2005,45-54 years,45-54,,,,,183530,42495904
,2005,2005,55-64 years,55-64,Female,F,American Indian or Alaska Native,1002-5,899,133062
,2005,2005,55-64 years,55-64,Female,F,Asian or Pacific Islander,A-PI,2322,677324
,2005,2005,55-64 years,55-64,Female,F,Black or African American,2054-5,18705,1727087
,2005,2005,55-64 years,55-64,Female,F,White,2106-3,87946,13330937
Total,2005,2005,55-64 years,55-64,Female,F,,,109872,15868410
,2005,2005,55-64 years,55-64,Male,M,American Indian or Alaska Native,1002-5,1341,124541
,2005,2005,55-64 years,55-64,Male,M,Asian or Pacific Islander,A-PI,3105,574554
,2005,2005,55-64 years,55-64,Male,M,Black or African American,2054-5,26711,1422404
,2005,2005,55-64 years,55-64,Male,M,White,2106-3,134272,12651588
Total,2005,2005,55-64 years,55-64,Male,M,,,165429,14773087
Total,2005,2005,55-64 years,55-64,,,,,275301,30641497
,2005,2005,65-74 years,65-74,Female,F,American Indian or Alaska Native,1002-5,1190,67231
,2005,2005,65-74 years,65-74,Female,F,Asian or Pacific Islander,A-PI,3444,384374
,2005,2005,65-74 years,65-74,Female,F,Black or African American,2054-5,24102,1047563
,2005,2005,65-74 years,65-74,Female,F,White,2106-3,146812,8699401
Total,2005,2005,65-74 years,65-74,Female,F,,,175548,10198569
,2005,2005,65-74 years,65-74,Male,M,American Indian or Alaska Native,1002-5,1297,57803
,2005,2005,65-74 years,65-74,Male,M,Asian or Pacific Islander,A-PI,4344,312759
,2005,2005,65-74 years,65-74,Male,M,Black or African American,2054-5,27616,765660
,2005,2005,65-74 years,65-74,Male,M,White,2106-3,189550,7546906
Total,2005,2005,65-74 years,65-74,Male,M,,,222807,8683128
Total,2005,2005,65-74 years,65-74,,,,,398355,18881697
,2005,2005,75-84 years,75-84,Female,F,American Indian or Alaska Native,1002-5,1289,33807
,2005,2005,75-84 years,75-84,Female,F,Asian or Pacific Islander,A-PI,5620,215062
,2005,2005,75-84 years,75-84,Female,F,Black or African American,2054-5,33929,642773
,2005,2005,75-84 years,75-84,Female,F,White,2106-3,310592,6862193
Total,2005,2005,75-84 years,75-84,Female,F,,,351430,7753835
,2005,2005,75-84 years,75-84,Male,M,American Indian or Alaska Native,1002-5,1144,23453
,2005,2005,75-84 years,75-84,Male,M,Asian or Pacific Islander,A-PI,5794,149515
,2005,2005,75-84 years,75-84,Male,M,Black or African American,2054-5,28069,365737
,2005,2005,75-84 years,75-84,Male,M,White,2106-3,300228,4782262
Total,2005,2005,75-84 years,75-84,Male,M,,,335235,5320967
Total,2005,2005,75-84 years,75-84,,,,,686665,13074802
,2005,2005,85+ years,85+,Female,F,American Indian or Alaska Native,1002-5,1070,10972
,2005,2005,85+ years,85+,Female,F,Asian or Pacific Islander,A-PI,5658,64523
,2005,2005,85+ years,85+,Female,F,Black or African American,2054-5,34096,240390
,2005,2005,85+ years,85+,Female,F,White,2106-3,423549,2933570
Total,2005,2005,85+ years,85+,Female,F,,,464373,3249455
,2005,2005,85+ years,85+,Male,M,American Indian or Alaska Native,1002-5,614,5185
,2005,2005,85+ years,85+,Male,M,Asian or Pacific Islander,A-PI,4336,38225
,2005,2005,85+ years,85+,Male,M,Black or African American,2054-5,14856,88591
,2005,2005,85+ years,85+,Male,M,White,2106-3,218990,1311843
Total,2005,2005,85+ years,85+,Male,M,,,238796,1443844
Total,2005,2005,85+ years,85+,,,,,703169,4693299
,2005,2005,Not Stated,NS,Female,F,American Indian or Alaska Native,1002-5,1,Not Applicable
,2005,2005,Not Stated,NS,Female,F,Black or African American,2054-5,16,Not Applicable
,2005,2005,Not Stated,NS,Female,F,White,2106-3,39,Not Applicable
Total,2005,2005,Not Stated,NS,Female,F,,,56,Not Applicable
,2005,2005,Not Stated,NS,Male,M,American Indian or Alaska Native,1002-5,1,Not Applicable
,2005,2005,Not Stated,NS,Male,M,Asian or Pacific Islander,A-PI,1,Not Applicable
,2005,2005,Not Stated,NS,Male,M,Black or African American,2054-5,31,Not Applicable
,2005,2005,Not Stated,NS,Male,M,White,2106-3,166,Not Applicable
Total,2005,2005,Not Stated,NS,Male,M,,,199,Not Applicable
Total,2005,2005,Not Stated,NS,,,,,255,Not Applicable
Total,2005,2005,,,,,,,2448017,295516599
,2006,2006,< 1 year,1,Female,F,American Indian or Alaska Native,1002-5,151,33299
,2006,2006,< 1 year,1,Female,F,Asian or Pacific Islander,A-PI,366,104986
,2006,2006,< 1 year,1,Female,F,Black or African American,2054-5,3972,326678
,2006,2006,< 1 year,1,Female,F,White,2106-3,8058,1510956
Total,2006,2006,< 1 year,1,Female,F,,,12547,1975919
,2006,2006,< 1 year,1,Male,M,American Indian or Alaska Native,1002-5,242,34270
,2006,2006,< 1 year,1,Male,M,Asian or Pacific Islander,A-PI,507,110738
,2006,2006,< 1 year,1,Male,M,Black or African American,2054-5,4886,337086
,2006,2006,< 1 year,1,Male,M,White,2106-3,10345,1583725
Total,2006,2006,< 1 year,1,Male,M,,,15980,2065819
Total,2006,2006,< 1 year,1,,,,,28527,4041738
,2006,2006,1-4 years,4-Jan,Female,F,American Indian or Alaska Native,1002-5,43,126322
,2006,2006,1-4 years,4-Jan,Female,F,Asian or Pacific Islander,A-PI,84,424290
,2006,2006,1-4 years,4-Jan,Female,F,Black or African American,2054-5,511,1241597
,2006,2006,1-4 years,4-Jan,Female,F,White,2106-3,1452,5982883
Total,2006,2006,1-4 years,4-Jan,Female,F,,,2090,7775092
,2006,2006,1-4 years,4-Jan,Male,M,American Indian or Alaska Native,1002-5,51,129271
,2006,2006,1-4 years,4-Jan,Male,M,Asian or Pacific Islander,A-PI,76,436949
,2006,2006,1-4 years,4-Jan,Male,M,Black or African American,2054-5,633,1283747
,2006,2006,1-4 years,4-Jan,Male,M,White,2106-3,1781,6272086
Total,2006,2006,1-4 years,4-Jan,Male,M,,,2541,8122053
Total,2006,2006,1-4 years,4-Jan,,,,,4631,15897145
,2006,2006,5-14 years,14-May,Female,F,American Indian or Alaska Native,1002-5,44,324318
,2006,2006,5-14 years,14-May,Female,F,Asian or Pacific Islander,A-PI,96,983849
,2006,2006,5-14 years,14-May,Female,F,Black or African American,2054-5,563,3317837
,2006,2006,5-14 years,14-May,Female,F,White,2106-3,1821,15191113
Total,2006,2006,5-14 years,14-May,Female,F,,,2524,19817117
,2006,2006,5-14 years,14-May,Male,M,American Indian or Alaska Native,1002-5,47,332170
,2006,2006,5-14 years,14-May,Male,M,Asian or Pacific Islander,A-PI,108,1005880
,2006,2006,5-14 years,14-May,Male,M,Black or African American,2054-5,831,3429497
,2006,2006,5-14 years,14-May,Male,M,White,2106-3,2639,15993162
Total,2006,2006,5-14 years,14-May,Male,M,,,3625,20760709
Total,2006,2006,5-14 years,14-May,,,,,6149,40577826
,2006,2006,15-24 years,15-24,Female,F,American Indian or Alaska Native,1002-5,186,330217
,2006,2006,15-24 years,15-24,Female,F,Asian or Pacific Islander,A-PI,245,1103003
,2006,2006,15-24 years,15-24,Female,F,Black or African American,2054-5,1690,3365282
,2006,2006,15-24 years,15-24,Female,F,White,2106-3,6696,16037575
Total,2006,2006,15-24 years,15-24,Female,F,,,8817,20836077
,2006,2006,15-24 years,15-24,Male,M,American Indian or Alaska Native,1002-5,478,359156
,2006,2006,15-24 years,15-24,Male,M,Asian or Pacific Islander,A-PI,624,1140292
,2006,2006,15-24 years,15-24,Male,M,Black or African American,2054-5,5793,3417516
,2006,2006,15-24 years,15-24,Male,M,White,2106-3,19175,17090803
Total,2006,2006,15-24 years,15-24,Male,M,,,26070,22007767
Total,2006,2006,15-24 years,15-24,,,,,34887,42843844
,2006,2006,25-34 years,25-34,Female,F,American Indian or Alaska Native,1002-5,216,267587
,2006,2006,25-34 years,25-34,Female,F,Asian or Pacific Islander,A-PI,378,1405604
,2006,2006,25-34 years,25-34,Female,F,Black or African American,2054-5,3126,2920388
,2006,2006,25-34 years,25-34,Female,F,White,2106-3,9044,15032761
Total,2006,2006,25-34 years,25-34,Female,F,,,12764,19626340
,2006,2006,25-34 years,25-34,Male,M,American Indian or Alaska Native,1002-5,492,279036
,2006,2006,25-34 years,25-34,Male,M,Asian or Pacific Islander,A-PI,694,1296944
,2006,2006,25-34 years,25-34,Male,M,Black or African American,2054-5,6919,2610956
,2006,2006,25-34 years,25-34,Male,M,White,2106-3,22083,15581903
Total,2006,2006,25-34 years,25-34,Male,M,,,30188,19768839
Total,2006,2006,25-34 years,25-34,,,,,42952,39395179
,2006,2006,35-44 years,35-44,Female,F,American Indian or Alaska Native,1002-5,468,265808
,2006,2006,35-44 years,35-44,Female,F,Asian or Pacific Islander,A-PI,726,1277891
,2006,2006,35-44 years,35-44,Female,F,Black or African American,2054-5,7409,3048804
,2006,2006,35-44 years,35-44,Female,F,White,2106-3,22290,17135108
Total,2006,2006,35-44 years,35-44,Female,F,,,30893,21727611
,2006,2006,35-44 years,35-44,Male,M,American Indian or Alaska Native,1002-5,784,262472
